Area,Country code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Other Renewables,%,0.04,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Solar,%,3.6,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Wind,%,3.07,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Bioenergy,TWh,2.19,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Coal,TWh,78.2,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Gas,TWh,3.19,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Hydro,TWh,7.51,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Nuclear,TWh,2.88,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Other Fossil,TWh,0.01,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Other Renewables,TWh,0.04,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Solar,TWh,3.63,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Wind,TWh,3.09,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Total,Total Generation,TWh,100.74,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity imports,Electricity imports,Net Imports,TWh,-0.76,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Aggregate fuel,Clean,mtCO2,0.89,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Aggregate fuel,Fossil,mtCO2,73.56,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,2.22,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,0.65,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Aggregate fuel,Renewables,mtCO2,0.87,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.22,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,739.03,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Fuel,Bioenergy,mtCO2,0.47,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Fuel,Coal,mtCO2,71.34,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Fuel,Gas,mtCO2,2.21,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Fuel,Hydro,mtCO2,0.18,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Fuel,Nuclear,mtCO2,0.02,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Fuel,Other Fossil,mtCO2,0.01,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Fuel,Other Renewables,mtCO2,0.0,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Fuel,Solar,mtCO2,0.17,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Fuel,Wind,mtCO2,0.05,,
India,IND,2019-02-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Power sector emissions,Total,Total emissions,mtCO2,74.45,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity demand,Demand,Demand,TWh,116.03,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,Clean,%,18.73,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,Fossil,%,81.27,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,3.2,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,9.63,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,Renewables,%,15.86,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,Wind and Solar,%,6.23,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,Clean,TWh,21.9,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,Fossil,TWh,95.04,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,3.74,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,11.26,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,Renewables,TWh,18.54,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,7.28,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Bioenergy,%,1.77,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Coal,%,78.07,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Gas,%,3.19,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Hydro,%,7.83,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Nuclear,%,2.87,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Other Fossil,%,0.01,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Other Renewables,%,0.03,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Solar,%,3.69,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Wind,%,2.54,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Bioenergy,TWh,2.07,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Coal,TWh,91.3,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Gas,TWh,3.73,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Hydro,TWh,9.16,,
India,IND,2019-03-01,Country,Asia,Asia,0.0,0.0,1.0,0.0,0.0,Electricity generation,Fuel,Nuclear,TWh,3.36,,
